age,year,weight,fish_sel,prob_mature,nat_m,species,stock
1,1990,0.007,0.000343256,0,0.9,Gadus chalcogrammus,Bering Sea pollock
2,1990,0.17,0.018107619,0.008,0.45,Gadus chalcogrammus,Bering Sea pollock
3,1990,0.303,0.115869562,0.29,0.3,Gadus chalcogrammus,Bering Sea pollock
4,1990,0.447,0.409382352,0.64,0.3,Gadus chalcogrammus,Bering Sea pollock
5,1990,0.589,0.817173668,0.84,0.3,Gadus chalcogrammus,Bering Sea pollock
6,1990,0.722,0.824618899,0.9,0.3,Gadus chalcogrammus,Bering Sea pollock
7,1990,0.84,0.990780151,0.95,0.3,Gadus chalcogrammus,Bering Sea pollock
8,1990,0.942,1,0.96,0.3,Gadus chalcogrammus,Bering Sea pollock
9,1990,1.029,0.942518732,0.97,0.3,Gadus chalcogrammus,Bering Sea pollock
10,1990,1.102,0.846689422,1,0.3,Gadus chalcogrammus,Bering Sea pollock
11,1990,1.163,0.846689422,1,0.3,Gadus chalcogrammus,Bering Sea pollock
12,1990,1.212,0.846689422,1,0.3,Gadus chalcogrammus,Bering Sea pollock
13,1990,1.253,0.846689422,1,0.3,Gadus chalcogrammus,Bering Sea pollock
14,1990,1.286,0.846689422,1,0.3,Gadus chalcogrammus,Bering Sea pollock
15,1990,1.312,0.846689422,1,0.3,Gadus chalcogrammus,Bering Sea pollock
1,1991,0.007,0.00025081,0,0.9,Gadus chalcogrammus,Bering Sea pollock
2,1991,0.15,0.014827378,0.008,0.45,Gadus chalcogrammus,Bering Sea pollock
3,1991,0.277,0.061675482,0.29,0.3,Gadus chalcogrammus,Bering Sea pollock
4,1991,0.476,0.228305095,0.64,0.3,Gadus chalcogrammus,Bering Sea pollock
5,1991,0.604,0.503056595,0.84,0.3,Gadus chalcogrammus,Bering Sea pollock
6,1991,0.728,0.640033469,0.9,0.3,Gadus chalcogrammus,Bering Sea pollock
7,1991,0.839,0.945501468,0.95,0.3,Gadus chalcogrammus,Bering Sea pollock
8,1991,0.873,0.768517336,0.96,0.3,Gadus chalcogrammus,Bering Sea pollock
9,1991,1.014,1,0.97,0.3,Gadus chalcogrammus,Bering Sea pollock
10,1991,1.127,0.9864913,1,0.3,Gadus chalcogrammus,Bering Sea pollock
11,1991,1.129,0.9864913,1,0.3,Gadus chalcogrammus,Bering Sea pollock
12,1991,1.251,0.9864913,1,0.3,Gadus chalcogrammus,Bering Sea pollock
13,1991,1.24,0.9864913,1,0.3,Gadus chalcogrammus,Bering Sea pollock
14,1991,1.308,0.9864913,1,0.3,Gadus chalcogrammus,Bering Sea pollock
15,1991,1.249,0.9864913,1,0.3,Gadus chalcogrammus,Bering Sea pollock
1,1992,0.007,0.000197334,0,0.9,Gadus chalcogrammus,Bering Sea pollock
2,1992,0.179,0.013968856,0.008,0.45,Gadus chalcogrammus,Bering Sea pollock
3,1992,0.394,0.105268898,0.29,0.3,Gadus chalcogrammus,Bering Sea pollock
